SampleID2	SampleID	Ward_Batch	pH_Soil	pH_Buffer	Soluble_Salts	Lime	Texture	OM	Nitrate	lbs	Phosphorus	Potassium	Sulfate	Zinc	Iron	Manganese	Copper	Calcium	Magnesium	Sodium	CEC	H_Sat	K_Sat	Ca_Sat	Mg_Sat	Na_Sat	Set
JEP162	JEP162	B	5.1	6.2	0.17	NONE	2	4	0.2	0	18.5	134	10.9	2.28	163.6	28.8	1.93	316	201	143	12.6	67	3	12	13	5	Temporal
JEP163	JEP163	B	5.1	6.2	0.1	NONE	2	3.9	0.4	1	12.6	136	14.3	2	145.5	25.6	1.64	368	171	67	12.2	68	3	15	12	2	Temporal
JEP164	JEP164	B	5.4	6.1	0.22	NONE	2	3.6	0.2	0	9.1	119	12.1	1.52	139.8	24.5	1.61	263	232	247	13.7	66	2	10	14	8	Temporal
JEP165	JEP165	B	5.4	6.1	0.14	NONE	2	4.8	0.5	1	11	320	10.2	3.73	130.4	22.5	1.75	785	257	46	16.1	56	5	24	13	1	Temporal
JEP166	JEP166	B	5.4	6.1	0.27	NONE	2	4.1	0.2	0	21.9	158	18.5	2.09	186.9	22	1.95	310	353	204	15.3	62	3	10	19	6	Temporal
JEP167	JEP167	B	5.1	6.1	0.21	NONE	2	3.9	0.1	0	9.8	135	5.6	2.32	142	31.7	2.04	610	246	90	14.8	61	2	20	14	3	Temporal
JEP168	JEP168	B	5.2	6	0.28	NONE	2	4	0.1	0	8.1	101	13.4	1.9	165.6	29.7	1.94	278	311	211	15.4	66	2	9	17	6	Temporal
JEP169	JEP169	B	5.2	6.3	0.12	NONE	2	3.6	0.3	1	9.7	132	7.8	2.73	145.3	30.3	1.75	513	139	70	11.5	62	3	22	10	3	Temporal
JEP170	JEP170	B	4.9	6	0.23	NONE	2	3.9	0.4	1	17.5	109	15.2	2.08	198.5	25.3	1.8	264	169	135	13.4	73	2	10	11	4	Temporal
JEP171	JEP171	B	5	5.9	0.09	NONE	2	3.6	0.2	0	12.4	86	9.9	1.67	130.3	23.9	1.67	374	169	54	14.6	74	2	12	10	2	Temporal
JEP172	JEP172	B	5.3	6.3	0.39	NONE	2	3.9	0.2	0	10.2	171	23.7	1.71	102.5	35.7	1.59	302	262	284	12.9	58	3	12	17	10	Temporal
JEP173	JEP173	B	5.1	6.2	0.15	NONE	2	4.8	0.2	0	10.2	204	13.6	3.25	140.3	28.3	1.78	817	261	47	14.6	52	4	28	15	1	Temporal
